epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,425.391,1.55624,3.42981,1.17681,0.52085,0.16108,0.11921,0.06817,1.51265,2.30364,1.17076,0.000132544,0.000132544,0.000132544
2,876.281,1.50332,2.39264,1.16509,0.4998,0.20578,0.17207,0.09597,1.53314,2.014,1.18937,0.000239556,0.000239556,0.000239556
3,1290.78,1.4571,2.14401,1.15043,0.61088,0.20936,0.20199,0.11682,1.46842,1.86307,1.14616,0.000320167,0.000320167,0.000320167
4,1728.27,1.43329,2.00179,1.13908,0.56058,0.23029,0.21421,0.12749,1.44696,1.79264,1.14873,0.0002812,0.0002812,0.0002812
5,2190.57,1.40064,1.86446,1.12823,0.5968,0.25994,0.24354,0.14743,1.37618,1.66361,1.11569,0.0002416,0.0002416,0.0002416
6,2599.92,1.37119,1.75538,1.10703,0.63653,0.25188,0.26224,0.15848,1.39245,1.67186,1.13067,0.000202,0.000202,0.000202
7,3012.23,1.3489,1.68124,1.09791,0.60403,0.25849,0.26694,0.15901,1.38208,1.62691,1.12009,0.0001624,0.0001624,0.0001624
8,3459.73,1.32485,1.6029,1.08419,0.52473,0.30088,0.28222,0.17118,1.36372,1.53596,1.1034,0.0001228,0.0001228,0.0001228
9,3778.73,1.30727,1.54613,1.07677,0.6013,0.31422,0.29456,0.17966,1.34771,1.51938,1.09781,8.32e-05,8.32e-05,8.32e-05
10,4075.32,1.2818,1.50825,1.06471,0.64583,0.2889,0.30523,0.18735,1.29241,1.4877,1.07587,4.36e-05,4.36e-05,4.36e-05
