epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.448,1.53257,3.37593,1.16569,0.52915,0.14938,0.12477,0.07227,1.44917,2.19496,1.14991,0.000132544,0.000132544,0.000132544
2,100.133,1.48723,2.21302,1.17145,0.49387,0.23238,0.16441,0.08942,1.53351,1.94339,1.20743,0.000263246,0.000263246,0.000263246
3,147.45,1.44322,1.98466,1.15683,0.55777,0.23677,0.21595,0.12989,1.43923,1.81057,1.17487,0.000391307,0.000391307,0.000391307
4,194.331,1.43223,1.87722,1.15069,0.5489,0.25638,0.23277,0.13586,1.44701,1.68599,1.16817,0.00038812,0.00038812,0.00038812
5,242.124,1.41303,1.77874,1.13416,0.57351,0.2712,0.25083,0.15011,1.32812,1.58584,1.1204,0.00038416,0.00038416,0.00038416
6,288.916,1.39808,1.69843,1.1297,0.57941,0.29324,0.2691,0.15787,1.36059,1.49904,1.13192,0.0003802,0.0003802,0.0003802
7,335.549,1.36706,1.64208,1.12046,0.61388,0.29469,0.29031,0.17237,1.38213,1.55246,1.13461,0.00037624,0.00037624,0.00037624
8,382.612,1.35753,1.59334,1.11122,0.62529,0.29831,0.30318,0.17948,1.33316,1.46309,1.11775,0.00037228,0.00037228,0.00037228
9,430.57,1.35013,1.5574,1.11332,0.57714,0.323,0.31097,0.18255,1.39442,1.48167,1.14869,0.00036832,0.00036832,0.00036832
10,477.946,1.35037,1.50386,1.1094,0.60789,0.30764,0.30463,0.17791,1.43048,1.40768,1.16085,0.00036436,0.00036436,0.00036436
11,524.757,1.3391,1.46598,1.10454,0.61723,0.29342,0.30947,0.18528,1.38899,1.47773,1.13038,0.0003604,0.0003604,0.0003604
12,572.641,1.32218,1.43899,1.09891,0.56526,0.31891,0.31212,0.18702,1.40109,1.45063,1.1446,0.00035644,0.00035644,0.00035644
13,620.526,1.3173,1.41744,1.10019,0.62934,0.35106,0.3255,0.1981,1.3027,1.36162,1.10255,0.00035248,0.00035248,0.00035248
14,668.886,1.29594,1.37051,1.08889,0.60678,0.32152,0.33516,0.19549,1.34994,1.36242,1.10756,0.00034852,0.00034852,0.00034852
15,718.531,1.31046,1.36768,1.09064,0.62806,0.33078,0.33038,0.19108,1.3721,1.39131,1.12906,0.00034456,0.00034456,0.00034456
16,767.752,1.28267,1.33291,1.08193,0.52031,0.33664,0.32592,0.19266,1.36652,1.4169,1.12949,0.0003406,0.0003406,0.0003406
17,815.447,1.28729,1.31691,1.08009,0.64726,0.3236,0.34525,0.19848,1.37855,1.35222,1.12426,0.00033664,0.00033664,0.00033664
18,862.708,1.28296,1.31593,1.07914,0.69081,0.2933,0.35597,0.21011,1.36254,1.37937,1.12582,0.00033268,0.00033268,0.00033268
19,911.582,1.27418,1.28712,1.07345,0.5399,0.34738,0.3523,0.20722,1.33436,1.2858,1.11043,0.00032872,0.00032872,0.00032872
20,958.695,1.28123,1.27504,1.07856,0.69287,0.29729,0.35069,0.20825,1.33461,1.33593,1.11127,0.00032476,0.00032476,0.00032476
21,1005.65,1.26389,1.24817,1.06523,0.63966,0.3304,0.36192,0.21643,1.3526,1.35051,1.12948,0.0003208,0.0003208,0.0003208
22,1053.53,1.25276,1.23402,1.066,0.6289,0.34828,0.36131,0.2055,1.38668,1.33092,1.12977,0.00031684,0.00031684,0.00031684
23,1100.31,1.25049,1.22841,1.06344,0.59826,0.31925,0.37771,0.22621,1.30295,1.26975,1.10441,0.00031288,0.00031288,0.00031288
24,1148.48,1.26072,1.22668,1.06775,0.55983,0.34627,0.35629,0.21571,1.34882,1.33244,1.11084,0.00030892,0.00030892,0.00030892
25,1195.92,1.24448,1.20828,1.06349,0.56227,0.32563,0.36295,0.22091,1.27449,1.2578,1.08567,0.00030496,0.00030496,0.00030496
26,1242.72,1.23595,1.18156,1.05634,0.55045,0.38743,0.38872,0.23873,1.32556,1.29325,1.10713,0.000301,0.000301,0.000301
27,1289.51,1.23508,1.16553,1.05561,0.55889,0.41272,0.393,0.2395,1.30181,1.27714,1.10146,0.00029704,0.00029704,0.00029704
28,1336.99,1.22878,1.16053,1.05476,0.52046,0.37239,0.37206,0.21676,1.37088,1.3429,1.12569,0.00029308,0.00029308,0.00029308
29,1384.91,1.21701,1.15241,1.04868,0.5931,0.39353,0.40668,0.24522,1.31579,1.22423,1.09975,0.00028912,0.00028912,0.00028912
30,1431.76,1.2175,1.13647,1.04644,0.64564,0.3443,0.41746,0.24612,1.35016,1.25008,1.11254,0.00028516,0.00028516,0.00028516
31,1479.31,1.21622,1.13415,1.04511,0.48074,0.39832,0.3727,0.2145,1.37872,1.274,1.1199,0.0002812,0.0002812,0.0002812
32,1526.43,1.21953,1.11303,1.04823,0.57335,0.35461,0.3871,0.23265,1.31079,1.24473,1.10099,0.00027724,0.00027724,0.00027724
33,1573.81,1.20982,1.10881,1.04532,0.52828,0.44045,0.41687,0.24959,1.32679,1.25608,1.10681,0.00027328,0.00027328,0.00027328
34,1621.14,1.20066,1.0936,1.0454,0.61803,0.36947,0.38835,0.24436,1.33498,1.3215,1.11759,0.00026932,0.00026932,0.00026932
35,1669.75,1.20989,1.09426,1.04063,0.5219,0.40058,0.38521,0.23364,1.30845,1.23002,1.08856,0.00026536,0.00026536,0.00026536
36,1716.59,1.20538,1.09629,1.04447,0.52845,0.41497,0.39339,0.22715,1.38957,1.27134,1.12803,0.0002614,0.0002614,0.0002614
37,1763.59,1.1846,1.07146,1.03726,0.58332,0.38632,0.38777,0.22753,1.35986,1.25687,1.12093,0.00025744,0.00025744,0.00025744
38,1810.41,1.18289,1.06218,1.03404,0.57125,0.39863,0.39238,0.23598,1.32946,1.27982,1.10134,0.00025348,0.00025348,0.00025348
39,1859.42,1.18823,1.06002,1.03407,0.46577,0.45911,0.40598,0.24094,1.33339,1.22937,1.11199,0.00024952,0.00024952,0.00024952
